Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
2000-012	Namiki Apartments	"1776 Sutter St, San Francisco, CA 94115"	34	33	0	Chinatown Community Development Center / Namiki Apartments Residents Association	Pacific Heights	5	"(37.7868538, -122.4294891)"	37.7868538	 -122.4294891
2000-013	Ocean Beach Apartments	"720-740 La Playa St, San Francisco, CA 94121"	85	84	0	San Francisco Housing Development Corporation / Bayside Communities	Outer Richmond	1	"(37.7745361, -122.5097961)"	37.7745361	 -122.5097961
2000-014	Curran House	"145 Taylor St, San Francisco, CA 94102"	67	66	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7836952, -122.4112244)"	37.7836952	 -122.4112244
2000-015	1340 Portola	"1340 Portola Dr, San Francisco, CA 94127"	6	0	6	West Bay Housing Corporation	West of Twin Peaks	7	"(37.7401123, -122.464653)"	37.7401123	 -122.464653)
2000-016	Derek Silva Community	"20 Franklin St, San Francisco, CA 94102"	68	68	0	Mercy Housing California	Hayes Valley	5	"(37.7745781, -122.4205322)"	37.7745781	 -122.4205322
2000-017	Buena Vista Terrace	"1250 Haight St, San Francisco, CA 94117"	40	39	0	Tenderloin Neighborhood Development Corporation	Haight Ashbury	5	"(37.770813, -122.4428711)"	"37.770813,"	-122.4428711)
2000-018	Rose Court	"2501 Pine St, San Francisco, CA 94115"	19	13	0	St. Rose Corporation	Pacific Heights	5	"(37.7871552, -122.4374313)"	37.7871552	 -122.4374313
2001-011	665 Clay	"665 Clay St, San Francisco, CA 94111"	25	25	0	Chinatown Community Development Center	Chinatown	3	"(37.7942924, -122.4040985)"	37.7942924	 -122.4040985
2001-012	Hartland Hotel	"909 Geary St, San Francisco, CA 94109"	136	136	0	Tenderloin Housing Clinic	Tenderloin	6	"(37.7858162, -122.4182892)"	37.7858162	 -122.4182892
2001-013	TIHDI: Rubicon Villages (CHP Villages)	"410 Avenue of the Palms, San Francisco, CA 94130"	44	43	0	Community Housing Partnership	Treasure Island	6	"(37.8278961, -122.3738251)"	37.8278961	 -122.3738251
2001-014	Seneca Hotel	"32-40 6th St, San Francisco, CA 94103"	202	88	0	Tenderloin Housing Clinic	South of Market	6	"(37.7814598, -122.4098587)"	37.7814598	 -122.4098587
2001-015	The Dudley Apartments	"172-180 6th St, San Francisco, CA 94103"	75	74	0	Mercy Housing California	South of Market	6	"(37.7798309, -122.4077988)"	37.7798309	 -122.4077988
2001-016	Curry Senior Center Apartments	"315 Turk St, San Francisco, CA 94102"	14	13	0	Curry Senior Center / 321 Turk	Tenderloin	6	"(37.7825432, -122.4143372)"	37.7825432	 -122.4143372
2001-017	North Beach Place	"455 Bay St, San Francisco, CA 94133"	341	112	0	Bridge Housing	North Beach	3	"(37.8049774, -122.4149933)"	37.8049774	 -122.4149933
2001-018	Leland Polk Senior Community	"1315 Polk St, San Francisco, CA 94109"	72	71	0	Mercy Housing California	Nob Hill	3	"(37.7889214, -122.4206238)"	37.7889214	 -122.4206238
2001-019	990 Polk	"990 Polk St, San Francisco, CA 94109"	110	109	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7856789, -122.4193802)"	37.7856789	 -122.4193802
2001-020	Folsom + Dore Apartments	"1346 Folsom St, San Francisco, CA 94103"	98	96	0	Tenderloin Neighborhood Development Corporation	South of Market	6	"(37.7737503, -122.4124832)"	37.7737503	 -122.4124832
2001-021	McAllister Street Co-ops	"1840 McAllister St, San Francisco, CA 94115"	10	0	10	Conard House	Lone Mountain/USF	5	"(37.7775383, -122.4426193)"	37.7775383	 -122.4426193
2002-016	West Hotel	"141 Eddy St, San Francisco, CA 94102"	105	104	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7839851, -122.409935)"	37.7839851	 -122.409935)
2002-017	Jordan Apartments	"820 O'Farrell St, San Francisco, CA 94109"	54	54	0	Conard House	Tenderloin	6	"(37.7853699, -122.4184341)"	37.7853699	 -122.4184341
2002-018	Padre Apartments	"241 Jones St, San Francisco, CA 94102"	41	40	0	Mercy Housing California	Tenderloin	6	"(37.7834778, -122.4128647)"	37.7834778	 -122.4128647
2002-019	Mission Creek Senior Community	"225 Berry St, San Francisco, CA 94158"	140	139	0	Mercy Housing California	Mission Bay	6	"(37.774704, -122.3940887)"	"37.774704,"	-122.3940887)
2002-020	The Coronet	"3595 Geary Blvd, San Francisco, CA 94118"	150	148	0	Bridge Housing	Lone Mountain/USF	1	"(37.7808723, -122.4579163)"	37.7808723	 -122.4579163
2002-021	Mosaica Family Apartments	"680 Florida St, San Francisco, CA 94110"	93	92	0	Tenderloin Neighborhood Development Corporation	Mission	9	"(37.7610321, -122.4115067)"	37.7610321	 -122.4115067
2002-022	Plaza Apartments	"988-992 Howard St, San Francisco, CA 94103"	106	106	0	Tenderloin Neighborhood Development Corporation	South of Market	6	"(37.7800751, -122.407135)"	37.7800751	 -122.407135)
2002-023	Westbrook Plaza	"227-255 7th St, San Francisco, CA 94103"	49	48	0	Mercy Housing California / Soma Health Center	South of Market	6	"(37.7776642, -122.4084244)"	37.7776642	 -122.4084244
2003-030	Valencia Gardens	"340-370 Valencia St, San Francisco, CA 94103"	260	259	0	Mission Housing Development Corporation	Mission	8	"(37.7670975, -122.4232025)"	37.7670975	 -122.4232025
2003-031	Edith Witt Senior Community	"66 9th St, San Francisco, CA 94103"	107	106	0	Mercy Housing California	South of Market	6	"(37.7760086, -122.4158173)"	37.7760086	 -122.4158173
2004-024	10th & Mission Family Housing	"1390 Mission St, San Francisco, CA 94103"	136	135	0	Mercy Housing California	South of Market	6	"(37.7760086, -122.4157944)"	37.7760086	 -122.4157944
2004-025	Hotel Essex	"684 Ellis St, San Francisco, CA 94109"	84	84	0	Community Housing Partnership	Tenderloin	6	"(37.7844505, -122.417511)"	37.7844505	 -122.417511)
2004-026	Arnett Watson Apartments	"650 Eddy St, San Francisco, CA 94109"	83	83	0	Community Housing Partnership	Tenderloin	6	"(37.7834435, -122.4185638)"	37.7834435	 -122.4185638
2004-027	Bishop Swing Community House	"275 10th St, San Francisco, CA 94103"	135	134	0	Episcopal Community Services	South of Market	6	"(37.7733955, -122.4127884)"	37.7733955	 -122.4127884
2004-028	Mission Hotel	"520 South Van Ness Ave, San Francisco, CA 94110"	244	244	0	Tenderloin Housing Clinic	Mission	9	"(37.7646332, -122.4178848)"	37.7646332	 -122.4178848
2004-029	Walden House	"815 Buena Vista Ave, San Francisco, CA 94117"	0	0	86	HealthRight360	Haight Ashbury	5	"(37.7693405, -122.4430771)"	37.7693405	 -122.4430771
2004-030	Mercy Terrace	"333 Baker St, San Francisco, CA 94117"	158	32	0	Mercy Housing California / Sisters of Mercy	Lone Mountain/USF	5	"(37.7738838, -122.4418259)"	37.7738838	 -122.4418259
2004-031	Crescent Cove	"420 Berry St, San Francisco, CA 94107"	236	234	0	Chinatown Community Development Center / Mission Bay Housing Partners	Mission Bay	6	"(37.772007, -122.399086)"	"37.772007,"	-122.399086)
2004-032	Ceatrice Polite Apartments	"321 Clementina St, San Francisco, CA 94103"	91	90	0	TODCO Group	South of Market	6	"(37.7819138, -122.402092)"	37.7819138	 -122.402092)
2004-033	Banneker Homes	"745-785 Fulton St, San Francisco, CA 94102"	108	108	0	"Banneker Homes, Inc."	Hayes Valley	5	"(37.7775574, -122.4289474)"	37.7775574	 -122.4289474
2004-034	Parkview Terrace	"871-881 Turk St, San Francisco, CA 94102"	101	100	0	Chinatown Community Development Center / Bayside Communities	Western Addition	5	"(37.7813339, -122.4235153)"	37.7813339	 -122.4235153
2005-033	Mosaica Senior Apartments	"655 Alabama St, San Francisco, CA 94110"	24	24	0	Tenderloin Neighborhood Development Corporation	Mission	9	"(37.7610321, -122.4115067)"	37.7610321	 -122.4115067
2005-034	149 Mason Street Apartments	"149 Mason St, San Francisco, CA 94102"	56	55	0	Glide	Tenderloin	6	"(37.7848053, -122.4097443)"	37.7848053	 -122.4097443
2006-020	Armstrong Place	"5600 3rd St, San Francisco, CA 94124"	116	116	0	Bridge Housing	Bayview Hunters Point	10	"(37.7272377, -122.3948441)"	37.7272377	 -122.3948441
2006-021	Hunters View (Phase 1)	"112 Middle Point Rd, San Francisco, CA 94124"	107	107	0	John Stewart Company / Ridgepoint / Devine & Gong	Bayview Hunters Point	10	"(37.7353745, -122.3805313)"	37.7353745	 -122.3805313
2006-022	Zygmunt Arendt House	"850 Broderick St, San Francisco, CA 94115"	47	46	0	Community Housing Partnership	Western Addition	5	"(37.7783356, -122.4398193)"	37.7783356	 -122.4398193
2006-023	Columbus United Cooperative	"53 Columbus Ave, San Francisco, CA 94111"	21	21	0	San Francisco Community Land Trust	Chinatown	3	"(37.7958908, -122.4043732)"	37.7958908	 -122.4043732
2006-024	Kelly Cullen Community	"220 Golden Gate Ave, San Francisco, CA 94102"	174	172	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7821007, -122.4142761)"	37.7821007	 -122.4142761
2006-025	Richardson Apartments (Parcel G)	"365 Fulton St, San Francisco, CA 94102"	120	120	0	Community Housing Partnership	Hayes Valley	5	"(37.778492, -122.4229584)"	"37.778492,"	-122.4229584)
2006-026	Baldwin House Hotel	"72-76 6th St, San Francisco, CA 94103"	207	10	0	Tenderloin Housing Clinic	South of Market	6	"(37.7810478, -122.4093628)"	37.7810478	 -122.4093628
2006-027	125 Mason Street	"125 Mason St, San Francisco, CA 94102"	81	80	0	Glide	Tenderloin	6	"(37.7848053, -122.4097443)"	37.7848053	 -122.4097443
2007-001	Broadway Sansome Family Housing	"235 -295 Broadway St, San Francisco, CA 94111"	75	74	0	Chinatown Community Development Center	Financial District/South Beach	3	"(37.7982979, -122.4016266)"	37.7982979	 -122.4016266
2007-002	Natoma Family Apartments	"474 Natoma St, San Francisco, CA 94103"	60	59	0	Bridge Housing	South of Market	6	"(37.7806358, -122.4074326)"	37.7806358	 -122.4074326
2007-004	Rene Cazenave Apts (Transbay Block 11A)	"25 Essex St, San Francisco, CA 94105"	120	119	0	Community Housing Partnership	Financial District/South Beach	6	"(37.7863922, -122.395134)"	37.7863922	 -122.395134)
2007-005	Willie B Kennedy Senior Housing (Rosa Parks II)	"1239 Turk Street, San Francisco, CA 94115"	98	97	0	Tenderloin Neighborhood Development Corporation	Western Addition	5	"(37.7804604, -122.4286804)"	37.7804604	 -122.4286804
2007-017	St. Peter's Place	"420 29th Ave, San Francisco, CA 94121"	20	19	0	Bernal Heights Neighborhood Center	Outer Richmond	1	"(37.7813148, -122.4888077)"	37.7813148	 -122.4888077
2007-018	Winsor Hotel	"20 6th St, San Francisco, CA 94103"	51	4	0	Winsor Hotel	South of Market	6	"(37.7816772, -122.4101028)"	37.7816772	 -122.4101028
2007-019	Hunter Hotel	"100 6th St, San Francisco, CA 94103"	14	6	0	"Patel, Dipakbhai"	South of Market	6	"(37.7807121, -122.4087677)"	37.7807121	 -122.4087677
2007-020	Octavia Court	"261 Octavia St, San Francisco, CA 94102"	15	14	0	West Bay Housing Corporation / Satellite Housing	Hayes Valley	5	"(37.774601, -122.4244614)"	"37.774601,"	-122.4244614)
2008-002	1180 Fourth Street	"1180 4th St, San Francisco, CA 94158"	150	149	0	Mercy Housing California	Mission Bay	6	"(37.7735405, -122.3920288)"	37.7735405	 -122.3920288
2008-003	Vera Haile Senior Housing	"129 Golden Gate Ave, San Francisco, CA 94102"	90	89	0	Mercy Housing California / St. Anthony's	Tenderloin	6	"(37.7817879, -122.4125443)"	37.7817879	 -122.4125443
2008-031	Rafiki House	"1761 Turk St, San Francisco, CA 94115"	11	0	11	Rafiki House	Western Addition	5	"(37.7795486, -122.4379959)"	37.7795486	 -122.4379959
2008-032	Ferguson Place	"1249 Scott St, San Francisco, CA 94115"	12	12	12	Baker Places	Western Addition	5	"(37.781559, -122.4376907)"	"37.781559,"	-122.4376907)
2008-033	Veterans Commons	"150 Otis St, San Francisco, CA 94103"	76	75	0	Swords To Plowshares / Chinatown Community Development Center	Mission	6	"(37.7708511, -122.4206314)"	37.7708511	 -122.4206314
2008-034	Excelsior Teen Center	"4466-4468 Mission St, San Francisco, CA 94112"	1	1	0	Bernal Heights Neighborhood Center	Outer Mission	11	"(37.7263336, -122.4339142)"	37.7263336	 -122.4339142
2008-035	Bayview Hill Gardens	"1075 Le Conte Ave, San Francisco, CA 94124"	73	72	0	Mercy Housing California	Bayview Hunters Point	10	"(37.7187881, -122.3981094)"	37.7187881	 -122.3981094
2008-036	Turk & Eddy Apartments	"249 Eddy St, San Francisco, CA 94102"	82	80	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7837601, -122.4117279)"	37.7837601	 -122.4117279
2009-001	1100 Ocean	"1100 Ocean Ave, San Francisco, CA 94112"	71	70	0	Mercy Housing California	West of Twin Peaks	7	"(37.7255745, -122.454155)"	37.7255745	 -122.454155)
2009-004	Dr. George W Davis Senior Housing	"1751 Carroll Avenue, San Francisco, CA 94124"	121	120	0	McCormack Baron Salazar / BHP Multi Senior Svcs	Bayview Hunters Point	10	"(37.7256203, -122.3958511)"	37.7256203	 -122.3958511
2009-020	Mary Helen Rodgers Senior Community	"701-725 Golden Gate Ave, San Francisco, CA 94102"	100	99	0	Chinatown Community Development Center	Western Addition	5	"(37.7805214, -122.4223862)"	37.7805214	 -122.4223862
2010-001	Edward II	"3151-3155 Scott St, San Francisco, CA 94123"	25	24	0	Community Housing Partnership	Marina	2	"(37.7989616, -122.4411392)"	37.7989616	 -122.4411392
2010-022	Madonna Residence	"350 Golden Gate Ave, San Francisco, CA 94102"	70	69	0	Mercy Housing California	Tenderloin	6	"(37.781826, -122.4163818)"	"37.781826,"	-122.4163818)
2010-023	Gum Moon Residence Hall	Confidential	33	0	26	Gum Moon	Confidential	0	"(0.0, 0.0)"	"0.0, 0.0)"	
2011-001	280 Beale	"280 Beale St, San Francisco, CA 94105"	70	69	0	Mercy Housing California	Financial District/South Beach	6	"(37.7881393, -122.3925781)"	37.7881393	 -122.3925781
2011-006	Tenderloin Family Housing	"201 Turk St, San Francisco, CA 94102"	175	174	0	Chinatown Community Development Center	Tenderloin	6	"(37.78265, -122.412941)"	"37.78265, "	122.412941)
2011-007	Franciscan Towers	"217 Eddy St, San Francisco, CA 94102"	105	104	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7839165, -122.4112701)"	37.7839165	 -122.4112701
2012-007	Candlestick Heights	"833 Jamestown Ave, San Francisco, CA 94124"	196	194	0	"New Jamestown, LP"	Bayview Hunters Point	10	"(37.7171745, -122.3922195)"	37.7171745	 -122.3922195
2012-009	Pacific Pointe	"350 Friedell St, San Francisco, CA 94124"	60	59	0	Amcal	Bayview Hunters Point	10	"(37.7277565, -122.3707657)"	37.7277565	 -122.3707657
2012-017	Western Park Apartments	"1280 Laguna St, San Francisco, CA 94115"	182	182	0	Northern California Presbyterian Homes & Services	Western Addition	5	"(37.7828026, -122.4267883)"	37.7828026	 -122.4267883
2012-026	2175 Market	"2175 Market St, San Francisco, CA 94114"	88	18	0	"FC 2175 Market, LLC."	Castro/Upper Market	8	"(37.7662849, -122.4299164)"	37.7662849	 -122.4299164
2013-019	430 Turk Street - RAD Cluster 4	"430 Turk Street, San Francisco, CA 94102"	89	89	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7827606, -122.4165726)"	37.7827606	 -122.4165726
2013-020	939 And 951 Eddy Street - RAD Cluster 3	"939 Eddy Street, San Francisco, CA 94109"	62	61	0	Tenderloin Neighborhood Development Corporation	Western Addition	5	"(37.7823143, -122.423111)"	37.7823143	 -122.423111)
2013-022	255 Woodside Avenue- RAD Cluster 6	"255 Woodside Avenue, San Francisco, CA 94127"	109	108	0	Bridge Housing & MEDA Housing	Twin Peaks	7	"(37.746582, -122.4552307)"	"37.746582,"	-122.4552307)
2013-023	1880 Pine Street- RAD California Corridor	"1880 Pine Street, San Francisco, CA 94109"	113	112	0	Mercy Housing California	Pacific Heights	2	"(37.789135, -122.4265823)"	"37.789135,"	-122.4265823)
2013-024	491 31st Avenue - California Corridor	"491 31st Avenue, San Francisco, CA 94103"	75	74	0	Mercy Housing California	Outer Richmond	1	"(37.7801208, -122.4915161)"	37.7801208	 -122.4915161
2013-025	345 Arguello - California Corridor	"345 Arguello Avenue, San Francisco, CA 94103"	69	68	0	Mercy Housing California	Inner Richmond	1	"(37.784214, -122.459465)"	"37.784214,"	-122.459465)
2013-026	227 Bay Street	"227 Bay Street, San Francisco, CA 94133"	50	49	0	Chinatown Community Development Center	North Beach	3	"(37.8056183, -122.411293)"	37.8056183	 -122.411293)
2013-027	462 Duboce- RAD Cluster 6	"462 Duboce Avenue, San Francisco, CA 94117"	42	41	0	Bridge Housing & MEDA Housing	Hayes Valley	8	"(37.7698021, -122.4307938)"	37.7698021	 -122.4307938
2013-028	666 Ellis Street - RAD Cluster 4	"666 Ellis Street, San Francisco, CA 94109"	99	99	0	Community Housing Partnership	Tenderloin	6	"(37.7845879, -122.4172363)"	37.7845879	 -122.4172363
2013-029	"1068 Palou Ave  and 1073 Oakdale Ave - RAD SE Cluster (aka Hunters Point East West, 90 Kiska)"	"1068 Palou Avenue, San Francisco, CA 94124"	213	211	0	"John Stewart Company / Hunters Point East West, LP"	Bayview Hunters Point	10	"(37.7288666, -122.3810501)"	37.7288666	 -122.3810501
2013-030	100 Appleton Street - RAD Cluster 5 (Holly Courts)	"100 Appleton Avenue, San Francisco, CA 94110"	118	117	0	Bridge Housing	Bernal Heights	9	"(37.7377129, -122.422226)"	37.7377129	 -122.422226)
2013-031	Robert B. Pitts (RAD)	"1150 Scott Street, San Francisco, CA 94115"	201	199	0	Bridge Housing	Western Addition	5	"(37.7803574, -122.4369812)"	37.7803574	 -122.4369812
2013-032	25 Sanchez- RAD Cluster 6	"25 Sanchez Street, San Francisco, CA 94114"	90	89	0	Bridge Housing & MEDA Housing	Castro/Upper Market	8	"(37.7689285, -122.4309769)"	37.7689285	 -122.4309769
2013-033	990 Pacific Avenue	"990 Pacific Avenue, San Francisco, CA 94133"	92	91	0	Chinatown Community Development Center	Chinatown	3	"(37.7966003, -122.4113846)"	37.7966003	 -122.4113846
2013-054	Canon Kip Community House	"705 Natoma St, San Francisco, CA 94103"	104	103	0	Episcopal Community Services	South of Market	6	"(37.7763252, -122.4123077)"	37.7763252	 -122.4123077
2013-061	534-536 Natoma St	"534-536 Natoma St, San Francisco, CA 94103"	5	4	0	San Francisco Community Land Trust	South of Market	6	"(37.7796364, -122.4086456)"	37.7796364	 -122.4086456
2014-007	O'Farrell Towers	"477 O'Farrell St, San Francisco, CA 94102"	101	100	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7855988, -122.4124222)"	37.7855988	 -122.4124222
2014-026	151 Duboce	"149-151 Duboce Ave, San Francisco, CA 94103"	4	4	0	San Francisco Community Land Trust	Mission	8	"(37.7695694, -122.4234619)"	37.7695694	 -122.4234619
2015-006	308 Turk Street	"308 Turk St, San Francisco, CA 94102"	20	20	0	San Francisco Community Land Trust	Tenderloin	6	"(37.7830353, -122.4144363)"	37.7830353	 -122.4144363
2015-012	Pigeon Palace	"2840-2848 Folsom St, San Francisco, CA 94110"	6	6	0	San Francisco Community Land Trust	Mission	9	"(37.751812, -122.4143677)"	"37.751812,"	-122.4143677)
2015-013	1684-1688 Grove Street	"1684 Grove St, San Francisco, CA 94117"	3	3	0	San Francisco Community Land Trust	Lone Mountain/USF	5	"(37.7753487, -122.4443665)"	37.7753487	 -122.4443665
2015-014	380 San Jose Avenue	"380 San Jose Ave, San Francisco, CA 94110"	4	4	0	Mission Economic Development Agency	Mission	8	"(37.7491913, -122.4216385)"	37.7491913	 -122.4216385
2015-015	1353 -1357 Folsom Street	"1353 Folsom St, San Francisco, CA 94103"	3	3	0	San Francisco Community Land Trust	South of Market	6	"(37.7729912, -122.4121552)"	37.7729912	 -122.4121552
2015-016	70-72c Belcher Street	"70 Belcher St, San Francisco, CA 94114"	5	5	0	San Francisco Community Land Trust	Castro/Upper Market	8	"(37.7681046, -122.4304428)"	37.7681046	 -122.4304428
2015-040	642-646 Guerrero Street	"642-646 Guerrero St, San Francisco, CA 94110"	4	4	0	Mission Economic Development Agency	Mission	8	"(37.7607956, -122.4240341)"	37.7607956	 -122.4240341
2015-051	568-570 Natoma Street	"568 -570 Natoma St, San Francisco, CA 94103"	5	5	0	San Francisco Community Land Trust	South of Market	6	"(37.7790642, -122.4093857)"	37.7790642	 -122.4093857
2015-052	Dorothy Day Community	"54 McAllister St, San Francisco, CA 94102"	100	99	0	Mercy Housing California	Tenderloin	6	"(37.7812881, -122.4131699)"	37.7812881	 -122.4131699
2016-001	111 Jones	"111 Jones St, San Francisco, CA 94102"	108	108	0	Mercy Housing California	Tenderloin	6	"(37.7823067, -122.4126282)"	37.7823067	 -122.4126282
2016-025	1500 Cortland	"1500 Cortland Ave, San Francisco, CA 94110"	4	4	0	Mission Economic Development Agency	Bernal Heights	9	"(37.7395821, -122.409317)"	37.7395821	 -122.409317)
2016-030	462 Green Street	"462 Green St, San Francisco, CA 94133"	6	6	0	Chinatown Community Development Center	North Beach	3	"(37.7999649, -122.4068527)"	37.7999649	 -122.4068527
2016-032	Garden Court Apartments	"1637 15th St, San Francisco, CA 94103"	16	16	0	Mission Housing Development Corporation	Mission	9	"(37.7663956, -122.4204483)"	37.7663956	 -122.4204483
2016-037	Howard Street Apartments	"1601 Howard St, San Francisco, CA 94103"	12	12	0	Tenderloin Neighborhood Development Corporation	Mission	6	"(37.7713928, -122.4167862)"	37.7713928	 -122.4167862
2016-038	Washburn Hotel	"38-42 Washburn St, San Francisco, CA 94103"	22	22	0	Conard House	South of Market	6	"(37.7752838, -122.4145889)"	37.7752838	 -122.4145889
2016-041	Haight Street Apartments	"398 Haight St, San Francisco, CA 94102"	12	7	0	Tenderloin Neighborhood Development Corporation	Hayes Valley	5	"(37.7725334, -122.4286194)"	37.7725334	 -122.4286194
2016-042	Dalt Hotel	"34 Turk St, San Francisco, CA 94102"	178	178	0	Tenderloin Neighborhood Development Corporation	Tenderloin	6	"(37.7836113, -122.4098892)"	37.7836113	 -122.4098892
2016-066	3840 Folsom Street	"3840 Folsom St, San Francisco, CA 94110"	4	4	0	Mission Economic Development Agency	Bernal Heights	9	"(37.7384262, -122.4135361)"	37.7384262	 -122.4135361
2016-075	3329-3333 20th Street	"3329-3333 20th Street, San Francisco, CA 94110"	10	10	0	Mission Economic Development Agency	Mission	9	"(37.7586365, -122.41539)"	37.7586365	 -122.41539)
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
