Project ID	Project Name	Project Address	Total Units	Affordable Units	Affordable Beds	Project Sponsor	City Analysis Neighborhood	Supervisor District	Project Location	Latitude	Longitude
1992-009	Swords to Plowshares (De Montfort)	"27/42 De Montfort Ave, San Francisco, CA 94112"	22	15	0	Swords To Plowshares	Oceanview/Merced/Ingleside	7	"(37.7234344, -122.4587021)"	37.7234344	 -122.4587021
1992-010	2782 24th	"2782 24th St, San Francisco, CA 94110"	3	3	0	Mission Housing Development Corporation	Mission	9	"(37.7531013, -122.4078903)"	37.7531013	 -122.4078903
1992-011	Columbia Park	"1035 Folsom St, San Francisco, CA 94103"	50	50	0	Mercy Housing California	South of Market	6	"(37.7777367, -122.405899)"	37.7777367	 -122.405899)
1992-012	Eddy Street Apartments	"1096 Eddy St, San Francisco, CA 94109"	21	20	0	Progress Foundation	Western Addition	5	"(37.782547, -122.4258118)"	"37.782547,"	-122.4258118)
1992-013	Good Samaritan Apartments	"1290-1294 Potrero Ave, San Francisco, CA 94110"	20	19	0	Mission Housing Development Corporation	Mission	9	"(37.751873, -122.4065704)"	"37.751873,"	-122.4065704)
1992-014	1028 Howard	"1028 Howard St, San Francisco, CA 94103"	30	30	0	Mercy Housing California	South of Market	6	"(37.7794685, -122.4079208)"	37.7794685	 -122.4079208
1993-002	Asian Women's Shelter	Confidential	5	0	16	Mei Fong And Associates	Confidential	0	"(0.0, 0.0)"	"0.0, 0.0)"	
1993-003	Peter Claver Community	"1340 Golden Gate Ave, San Francisco, CA 94115"	32	31	0	Catholic Charities	Western Addition	5	"(37.7797546, -122.4327164)"	37.7797546	 -122.4327164
1993-004	1370 California Apartments	"1370 California St, San Francisco, CA 94109"	49	48	0	Chinatown Community Development Center	Nob Hill	3	"(37.791378, -122.4170609)"	"37.791378,"	-122.4170609)
1993-005	1912 McAllister	"1912 McAllister St, San Francisco, CA 94115"	0	0	4	Westside Community Services	Lone Mountain/USF	5	"(37.7773514, -122.4436951)"	37.7773514	 -122.4436951
1993-006	Woolsey Apartments	"195 Woolsey St, San Francisco, CA 94134"	10	9	0	Bernal Heights Neighborhood Center	Portola	9	"(37.7248039, -122.4033737)"	37.7248039	 -122.4033737
1993-007	205 Jones	"205 Jones St, San Francisco, CA 94102"	50	49	0	Mercy Housing California	Tenderloin	6	"(37.7831726, -122.4126816)"	37.7831726	 -122.4126816
